Category,Metric,Result
"Provenance","Sequential Write Latency — Mean (ms)","91.84"
"Provenance","Sequential Write Latency — P50 (ms)","92.17"
"Provenance","Sequential Write Latency — P95 (ms)","98.00"
"Provenance","Sequential Write Latency — P99 (ms)","100.78"
"Provenance","Sequential Write Latency — StdDev (ms)","4.14"
"Reputation","Sequential Write Latency — Mean (ms)","94.56"
"Reputation","Sequential Write Latency — P50 (ms)","94.64"
"Reputation","Sequential Write Latency — P95 (ms)","102.46"
"Reputation","Sequential Write Latency — P99 (ms)","105.38"
"Reputation","Sequential Write Latency — StdDev (ms)","5.53"
"Integrated","Sequential Write Latency (Atomic Prov+Rep) — Mean (ms)","97.86"
"Integrated","Sequential Write Latency (Atomic Prov+Rep) — P50 (ms)","97.93"
"Integrated","Sequential Write Latency (Atomic Prov+Rep) — P95 (ms)","105.41"
"Integrated","Sequential Write Latency (Atomic Prov+Rep) — P99 (ms)","106.75"
"Integrated","Sequential Write Latency (Atomic Prov+Rep) — StdDev (ms)","5.00"
"Integrated","Sequential Read Latency (GetPartTrustReport) — Mean (ms)","7.69"
"Integrated","Sequential Read Latency (GetPartTrustReport) — P50 (ms)","7.58"
"Integrated","Sequential Read Latency (GetPartTrustReport) — P95 (ms)","9.72"
"Integrated","Sequential Read Latency (GetPartTrustReport) — P99 (ms)","14.06"
"Integrated","Sequential Read Latency (GetPartTrustReport) — StdDev (ms)","1.43"
"Provenance","Concurrent Write TPS","260.78 TPS"
"Provenance","MVCC Conflict Rate","0.0%"
"Reputation","Concurrent Write TPS","273.19 TPS"
"Reputation","MVCC Conflict Rate","0.0%"
"Integrated","Concurrent Write TPS","248.67 TPS"
"Integrated","MVCC Conflict Rate (low-conflict)","0.0%"
"Reputation","High-Contention TPS","2.79 TPS"
"Reputation","MVCC Conflict Rate (high-contention)","99.0%"
"Storage","Asset Record (bytes)","177"
"Storage","ProvenanceEvent Record (bytes)","337"
"Storage","Stake Record (bytes)","70"
"Storage","Rating Record (bytes)","450"
"Storage","Reputation Record (bytes)","105"
"Storage","IntegratedEvent Record (bytes)","482"
"Storage","ProvenanceRepLink Record (bytes)","251"